id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,item_group_id,google_product_category,product_type,color,size,gender,age_group,material,pattern,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
109,Beige pantalon hoge taille (S),"Elegante zwarte high-waisted broek met een rechte pasvorm. Voorzien van riemlussen, twee goudkleurige knopen aan de voorkant en een handige ritssluiting. Functionele voorzakken en stijlvolle nepzakken achter. Een classy en chique must-have voor elke garderobe!",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/beige-pantalon-hoge-taille-52?attribute_values=1,https://www.lou-marie.be/web/image/product.product/109/image_1920?unique=592b066,"https://www.lou-marie.be/web/image/product.image/42/image_1920?unique=0249067,https://www.lou-marie.be/web/image/product.image/43/image_1920?unique=0249067,https://www.lou-marie.be/web/image/product.image/44/image_1920?unique=0249067",Lou-Marie,52,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",beige,S,female,adult,,,,tot 25,"Broeken, shorts en rokken",aanbieding,
110,Beige pantalon hoge taille (L),"Elegante zwarte high-waisted broek met een rechte pasvorm. Voorzien van riemlussen, twee goudkleurige knopen aan de voorkant en een handige ritssluiting. Functionele voorzakken en stijlvolle nepzakken achter. Een classy en chique must-have voor elke garderobe!",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/beige-pantalon-hoge-taille-52?attribute_values=3,https://www.lou-marie.be/web/image/product.product/110/image_1920?unique=592b066,"https://www.lou-marie.be/web/image/product.image/42/image_1920?unique=0249067,https://www.lou-marie.be/web/image/product.image/43/image_1920?unique=0249067,https://www.lou-marie.be/web/image/product.image/44/image_1920?unique=0249067",Lou-Marie,52,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",beige,L,female,adult,,,,tot 25,"Broeken, shorts en rokken",aanbieding,
111,Beige pantalon hoge taille (M),"Elegante zwarte high-waisted broek met een rechte pasvorm. Voorzien van riemlussen, twee goudkleurige knopen aan de voorkant en een handige ritssluiting. Functionele voorzakken en stijlvolle nepzakken achter. Een classy en chique must-have voor elke garderobe!",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/beige-pantalon-hoge-taille-52?attribute_values=2,https://www.lou-marie.be/web/image/product.product/111/image_1920?unique=592b066,"https://www.lou-marie.be/web/image/product.image/42/image_1920?unique=0249067,https://www.lou-marie.be/web/image/product.image/43/image_1920?unique=0249067,https://www.lou-marie.be/web/image/product.image/44/image_1920?unique=0249067",Lou-Marie,52,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",beige,M,female,adult,,,,tot 25,"Broeken, shorts en rokken",aanbieding,
239,"Bikerjasje suèdine, donkergroen (M)","Donkergroen bikerjasje in suèdinelook met superzachte stretchstof. Draagt aangenaam, beweegt met je mee en combineert moeiteloos met je favoriete jeans of pantalon. Stoer en comfortabel tegelijk.",in stock,new,49.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/bikerjasje-suedine-donkergroen-121?attribute_values=2,https://www.lou-marie.be/web/image/product.product/239/image_1920?unique=cced253,"https://www.lou-marie.be/web/image/product.image/216/image_1920?unique=f819dc9,https://www.lou-marie.be/web/image/product.image/217/image_1920?unique=f819dc9",Lou-Marie,121,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jassen en blazers,donkergroen,M,female,adult,suedine,,ads,25 tot 40,Jassen en blazers,aanbieding,
240,"Bikerjasje suèdine, donkergroen (L)","Donkergroen bikerjasje in suèdinelook met superzachte stretchstof. Draagt aangenaam, beweegt met je mee en combineert moeiteloos met je favoriete jeans of pantalon. Stoer en comfortabel tegelijk.",in stock,new,49.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/bikerjasje-suedine-donkergroen-121?attribute_values=3,https://www.lou-marie.be/web/image/product.product/240/image_1920?unique=cced253,"https://www.lou-marie.be/web/image/product.image/216/image_1920?unique=f819dc9,https://www.lou-marie.be/web/image/product.image/217/image_1920?unique=f819dc9",Lou-Marie,121,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jassen en blazers,donkergroen,L,female,adult,suedine,,ads,25 tot 40,Jassen en blazers,aanbieding,
298,Blauw gebreid vest met detailknopen,"Felblauw oversized gebreid vest met gouden sierknopen in zeethema. De sprankelende kleur doet denken aan zon, zee en strand — een blikvanger over een effen top.",in stock,new,44.95 EUR,30.00 EUR,https://www.lou-marie.be/nl/shop/blauw-gebreid-vest-met-detailknopen-153?attribute_values=9,https://www.lou-marie.be/web/image/product.product/298/image_1920?unique=200608f,"https://www.lou-marie.be/web/image/product.image/243/image_1920?unique=e5051f8,https://www.lou-marie.be/web/image/product.image/244/image_1920?unique=81ff7ac,https://www.lou-marie.be/web/image/product.image/245/image_1920?unique=81ff7ac",Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,blauw,one size,female,adult,gebreid,,,25 tot 40,Truien en vesten,aanbieding,
210,Blauw zomershort glitter & bloemen (S/M),"Zomershort met kleurrijke bloemenprint en een subtiele zilveren glans. Licht, vrolijk en zomers — ideaal voor vakantie of een warme dag in de stad.",in stock,new,44.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/blauw-zomershort-glitter-bloemen-107?attribute_values=15,https://www.lou-marie.be/web/image/product.product/210/image_1920?unique=9fd178f,,Lou-Marie,107,Apparel & Accessories > Clothing > Shorts,"Broeken, shorts en rokken",blauw,S/M,female,adult,,bloemenprint,,tot 25,"Broeken, shorts en rokken",aanbieding,
211,Blauw zomershort glitter & bloemen (M/L),"Zomershort met kleurrijke bloemenprint en een subtiele zilveren glans. Licht, vrolijk en zomers — ideaal voor vakantie of een warme dag in de stad.",in stock,new,44.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/blauw-zomershort-glitter-bloemen-107?attribute_values=16,https://www.lou-marie.be/web/image/product.product/211/image_1920?unique=9fd178f,,Lou-Marie,107,Apparel & Accessories > Clothing > Shorts,"Broeken, shorts en rokken",blauw,M/L,female,adult,,bloemenprint,,tot 25,"Broeken, shorts en rokken",aanbieding,
133,Blauwe jeansrok parel,"Deze lange denim rok combineert een klassieke look met elegante details. De split aan de voorkant zorgt voor een stijlvolle en flatterende pasvorm, terwijl de vijf praktische zakken een casual touch toevoegen. De subtiele parelversieringen langs de voorzakken geven een extra vleugje verfijning.",in stock,new,54.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/blauwe-jeansrok-parel-57?attribute_values=12,https://www.lou-marie.be/web/image/product.product/133/image_1920?unique=5495cd6,"https://www.lou-marie.be/web/image/product.image/53/image_1920?unique=9ac04ef,https://www.lou-marie.be/web/image/product.image/134/image_1920?unique=ce03256",Lou-Marie,,Apparel & Accessories > Clothing > Skirts,"Broeken, shorts en rokken",blauw,40,female,adult,denim,,,25 tot 40,"Broeken, shorts en rokken",aanbieding,
206,Blauwe zomerjurk tetra,"Korte blauwe zomerjurk in zachte, ademende tetrastof. Effen, elegant en heerlijk comfortabel — precies wat je wil op de warmere dagen.",in stock,new,44.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/blauwe-zomerjurk-tetra-104?attribute_values=9,https://www.lou-marie.be/web/image/product.product/206/image_1920?unique=0f82921,,Lou-Marie,,Apparel & Accessories > Clothing > Dresses,Jurken,blauw,one size,female,adult,,,,tot 25,Jurken,aanbieding,
